,name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
120,5380,0,1,1981,1532,3.4,5300.0,1381,4286,276,55,6500000.0,36565280.0,1637,115.0
121,7178,4,6,1981,1608,6.7,29000.0,1406,4497,1850,54,10000000.0,10853418.0,1532,116.0
122,491,4,4,1981,1457,6.9,27000.0,2634,4049,694,55,7000000.0,95461682.0,1777,97.0
123,3804,4,3,1981,2828,7.8,19000.0,1711,4393,113,55,,5073.0,2009,110.0
124,1106,4,4,1981,82,5.8,7300.0,375,3777,2226,55,,15965924.0,977,91.0
125,1468,6,10,1981,3101,6.6,11000.0,929,1918,1079,55,3000000.0,,261,94.0
126,2517,6,4,1981,1696,6.9,47000.0,1871,2893,1825,55,11000000.0,31672907.0,494,92.0
127,6030,6,10,1981,16,6.6,32000.0,1338,1419,622,55,1000000.0,17985893.0,940,91.0
128,1675,4,0,1981,1826,6.7,16000.0,1858,1584,2124,54,18000000.0,14110013.0,1812,109.0
129,1402,6,5,1981,896,6.9,5300.0,1116,3142,1161,55,3000000.0,1752634.0,1221,109.0
130,4412,6,1,1981,917,7.3,21000.0,1236,1574,800,6,12500000.0,20962615.0,1349,100.0
131,5844,6,10,1981,2051,5.6,19000.0,1000,1029,2329,54,5000000.0,20471382.0,2253,108.0
132,3671,6,3,1981,3280,6.7,15000.0,880,723,814,55,5000000.0,19032261.0,1812,129.0
133,4363,6,4,1981,1677,5.2,3400.0,48,846,2539,55,2800000.0,26279000.0,352,87.0
134,6445,6,5,1981,2051,6.6,22000.0,291,998,1047,57,12000000.0,12376625.0,532,122.0
135,4437,4,6,1981,774,7.3,9000.0,1983,1192,1075,55,,14920781.0,861,155.0
136,1487,6,10,1981,332,5.6,5200.0,2875,1511,1722,55,2500000.0,8279042.0,1869,100.0
137,1887,6,5,1981,924,6.0,4500.0,2216,4060,2766,55,8500000.0,6400000.0,2253,103.0
138,2153,4,1,1981,485,7.4,38000.0,2214,1047,1826,2,,5732587.0,1917,110.0
139,4112,6,0,1981,2362,6.6,28000.0,2191,3376,2386,54,16000000.0,17374595.0,2187,109.0
140,5055,6,0,1981,3280,7.2,17000.0,2864,2968,1466,55,,,676,106.0
141,4684,6,4,1981,1372,6.4,5700.0,275,447,1391,55,12000000.0,14867086.0,246,122.0
142,5548,6,10,1981,2540,6.8,21000.0,1718,907,377,25,400000.0,123843.0,1128,87.0
143,2203,6,6,1981,687,6.3,7900.0,1408,3394,509,55,,23371905.0,2281,110.0
144,3793,6,10,1981,908,6.3,19000.0,965,3997,2084,6,,5672031.0,556,90.0
145,5888,6,10,1981,1981,5.9,13000.0,2760,2548,737,55,,7886857.0,2281,96.0
146,4060,6,6,1981,909,6.5,5700.0,862,309,850,55,26000000.0,636796.0,2375,107.0
147,5880,6,6,1981,2872,7.0,13000.0,1559,2124,1840,54,,26890068.0,1406,124.0
148,5945,1,1,1981,1826,7.2,14000.0,1307,4282,1238,54,,31206251.0,1259,97.0
149,7003,6,5,1981,3280,6.3,7500.0,2837,2132,2240,55,10000000.0,12850276.0,631,108.0
150,3310,4,6,1981,3031,6.1,4900.0,1895,2931,49,55,8000000.0,,2187,93.0
151,3926,6,0,1981,16,6.4,18000.0,338,1030,2538,55,5000000.0,19905359.0,2281,99.0
152,3904,6,4,1981,1903,6.2,7100.0,2804,4298,408,55,,37000000.0,520,88.0
153,4841,6,0,1981,687,6.3,5600.0,360,4449,342,55,,35610100.0,831,122.0
154,3878,6,4,1981,687,5.6,7600.0,1391,4184,1277,55,8500000.0,29916207.0,731,94.0
155,4385,6,4,1981,609,5.9,1300.0,335,2724,1983,2,,237000.0,1518,87.0
156,1884,6,14,1981,1532,7.1,9900.0,2309,2423,678,54,,17583634.0,1425,112.0
157,7410,6,10,1981,1532,6.3,9400.0,1947,4425,49,55,17000000.0,10626725.0,1777,115.0
158,5236,6,4,1981,576,5.5,4400.0,1959,3033,1529,55,,5165432.0,136,86.0
159,4357,6,5,1981,466,7.5,7600.0,2560,1882,2680,55,8600000.0,8124257.0,1777,167.0
160,5971,6,6,1981,160,5.5,5700.0,2078,2708,1850,55,,2447576.0,1777,104.0
161,1303,4,4,1981,3203,6.2,4800.0,1884,2550,1277,55,,15578237.0,2281,103.0
162,1605,6,11,1981,152,7.2,12000.0,1237,882,2753,14,,110014.0,1496,117.0
163,7164,6,10,1981,1302,5.8,2600.0,2239,87,1519,54,,5229643.0,1671,92.0
164,2067,6,5,1981,1090,6.7,5800.0,576,1643,2090,55,,29200000.0,2218,125.0
165,1886,6,10,1981,2108,6.0,2400.0,1586,3733,1574,55,800000.0,1118634.0,1155,84.0
166,7505,4,0,1981,1457,6.2,4100.0,2202,1585,886,55,,,1628,93.0
167,7078,4,4,1981,1608,5.4,2600.0,2642,1397,410,55,20000000.0,18826490.0,1344,98.0
168,1070,4,4,1981,3280,5.6,2600.0,1937,3988,892,55,6000000.0,9566593.0,826,92.0
169,6066,4,4,1981,1318,5.5,4500.0,1355,3548,1616,55,,20259961.0,1515,88.0
170,6352,4,6,1981,1903,6.0,891.0,2433,459,1537,55,,14923752.0,2295,112.0
171,4407,6,6,1981,2976,6.3,1300.0,1171,1891,1036,54,,12042.0,1634,101.0
172,2292,6,10,1981,2225,4.9,3600.0,1072,268,458,55,250000.0,,356,96.0
173,3666,4,4,1981,774,5.1,4900.0,1585,2435,410,55,8000000.0,26154211.0,2253,93.0
174,4206,6,6,1981,1125,6.5,5300.0,1073,1087,2509,55,22000000.0,9171289.0,1637,108.0
